project_name,sector_type,country,installed_capacity_mw,operational_status,owner,equity_stake_owner,equity_stake_operator,country_of_company_hq,company_type,company_type_for_label,is_operator,lender_type,substances,deal_type,parent_org,pid
curuauna,hydropower,brazil,30.3,in_operation,centrais_eletricas_do_norte_do_brasil_eletrobas_eletronorte,1.0,1.0,brazil,soe,stateowned_enterprise,yes,nan,nan,greenfield,eletrobras,c7fxu4
dardanelos,hydropower,brazil,261.0,in_operation,centrais_eletricas_do_norte_do_brasil_eletrobas_eletronorte,0.245,0.245,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,eletrobras,luqna3
dardanelos,hydropower,brazil,261.0,in_operation,companhia_hidroeletrica_do_sao_francisco,0.245,0.245,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,companhia_hidroeletrica_do_sao_francisco,wpv4qt
guapore,hydropower,brazil,124.2,in_operation,mineracao_santa_elina_industria_e_comercio,0.36,0.0,brazil,other,other,no,nan,nan,mergeracquisition,mineracao_santa_elina_industria_e_comercio,twymbb
jauru,hydropower,brazil,121.5,in_operation,cinco_estrelas_agropecuaria_e_participacoes,0.1,0.1,brazil,local_power_company,local_power_company,yes,domestic_development_bankfund,nan,greenfield,cinco_estrelas_agropecuaria_e_participacoes,m0cczv
jauru,hydropower,brazil,121.5,in_operation,queiroz_galvao_energetica,0.9,0.9,brazil,local_power_company,local_power_company,yes,domestic_development_bankfund,nan,greenfield,queiroz_galvao_energetica,swewg9
jirau,hydropower,brazil,3750.0,in_operation,companhia_hidreletrica_do_sao_francisco,0.2,0.2,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund_commercial_bank_commercial_bank_commercial_bank_commercial_bank_commercial_bank,nan,partial_change_in_equity,companhia_hidroeletrica_do_sao_francisco,54t5bj
jirau,hydropower,brazil,3750.0,in_operation,eletrosul_centrais_eletricas_eletrosul,0.2,0.2,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund_commercial_bank_commercial_bank_commercial_bank_commercial_bank_commercial_bank,nan,partial_change_in_equity,eletrosul,udyb0o
juba,hydropower,brazil,84.0,in_operation,itamarati_norte,1.0,1.0,brazil,other,other,yes,nan,nan,greenfield,itamarati_norte,1lehua
samuel,hydropower,brazil,216.0,in_operation,centrais_eletricas_do_norte_do_brasil_eletrobas_eletronorte,1.0,1.0,brazil,soe,stateowned_enterprise,yes,nan,nan,greenfield,eletrobras,bj4e2q
santo_antonio,hydropower,brazil,3568.3,in_operation,caixa_fundo_de_investimentos_em_participacoes_amazonia_energia,0.2,0.2,brazil,other,other,yes,domestic_development_bankfund,nan,greenfield,amazonia_energia,ov1mvz
santo_antonio,hydropower,brazil,3568.3,in_operation,cemig_geracao_e_transmissao,0.2,0.2,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,cemig_geracao_e_transmissao,pwtwfr
santo_antonio,hydropower,brazil,3568.3,in_operation,furnas_centrais_eletricas_eletrobras_furnas,0.2,0.2,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,eletrobras,wfhgy5
santo_antonio,hydropower,brazil,3568.3,in_operation,odebrecht_energia_do_brasil,0.2,0.2,brazil,other,other,yes,domestic_development_bankfund,nan,greenfield,odebrecht,oh4c2l
santo_antonio,hydropower,brazil,3568.3,in_operation,saag_investimentos,0.2,0.2,brazil,other,other,yes,domestic_development_bankfund,nan,greenfield,saag_investimentos,etl4q2
sao_manoel,hydropower,brazil,700.0,in_operation,furnas_centrais_eletricas_eletrobras_furnas,0.33,0.33,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,partial_change_in_equity,eletrobras,leghsz
teles_pires,hydropower,brazil,1820.0,in_operation,eletrosul_centrais_eletricas_eletrosul,0.245,0.245,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,eletrosul,jjhj0z
teles_pires,hydropower,brazil,1820.0,in_operation,furnas_centrais_eletricas_eletrobras_furnas,0.245,0.245,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,eletrobras,xvwfiz
teles_pires,hydropower,brazil,1820.0,in_operation,odebrecht,0.009,0.009,brazil,other,other,yes,domestic_development_bankfund,nan,greenfield,odebrecht,9jnt53
tucurui,hydropower,brazil,8535.0,in_operation,centrais_eletricas_do_norte_do_brasil_eletrobas_eletronorte,1.0,1.0,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,eletrobras,bnotoo
la_virgen,hydropower,peru,86.0,under_construction,alupar_investimento,0.65,0.65,brazil,other,other,yes,multilateral_development_bank_commercial_bank_foreign_development_bankfund,nan,partial_change_in_equity,alupar_investimento,ysc2wp
sinop,hydropower,brazil,402.0,in_operation,centrais_eletricas_do_norte_do_brasil_eletrobas_eletronorte,0.33,0.0,brazil,soe,stateowned_enterprise,no,domestic_development_bankfund,nan,partial_change_in_equity,eletrobras,vipkev
sinop,hydropower,brazil,402.0,in_operation,companhia_hidreletrica_do_sao_francisco,0.33,0.0,brazil,soe,stateowned_enterprise,no,domestic_development_bankfund,nan,partial_change_in_equity,companhia_hidroeletrica_do_sao_francisco,h62xoc
guapore,hydropower,brazil,124.2,in_operation,tangara_energia,0.64,1.0,canada,other,other,yes,nan,nan,mergeracquisition,tangara_energia,kabs7e
cachoeira_caldeirao,hydropower,brazil,219.0,in_operation,china_three_gorges_corporation,0.5,0.5,china,soe,stateowned_enterprise,yes,nan,nan,partial_change_in_equity,china_three_gorges_corporation,wxvdvj
chaglla,hydropower,peru,456.0,in_operation,china_three_gorges_corporation,1.0,1.0,china,soe,stateowned_enterprise,yes,commercial_bank_commercial_bank_domestic_development_bankfund_multilateral_development_bank,nan,mergeracquisition,china_three_gorges_corporation,skcacl
